"","Anonym_Enfant","Cazotte_Diable","Cazotte_Honneur","Cazotte_Ollivier","Charriere_Caliste","Charriere_Femmes","Charriere_Lausanne","Charriere_Neuchateloises","Charriere_Noble","Diderot_Jacques","Diderot_Neveu","Diderot_Religieuse","Ducray_Cinquante","Ducray_Coelina","Ducray_Soirees","Ducray_Victor","Nerciat_Aphrodites","Nerciat_Doctorat","Nerciat_Etourdi","Nerciat_Felicia","Nerciat_Monrose","PigaultLebrun_Enfant","PigaultLebrun_Kinglin","Retif_AntiJustine","Retif_Paysan","Retif_Paysanne","Retif_Sara","Sade_120","Sade_Aline","Sade_Infortunes","Sade_Justine","Sade_Philosophie","Voltaire_Amabed","Voltaire_Candide","Voltaire_Eloge","Voltaire_Homme","Voltaire_Ingenu","Voltaire_Jenni","Voltaire_Micromegas","Voltaire_Princesse"
"Diderot_Neveu",1.22053220937822,1.04667117147456,1.04906143075245,0.983474619796846,1.08620249952062,0.895326835878296,0.857068183800017,0.949057767691607,1.07418890510455,0.642821092890609,0,0.874288805775882,1.19401602924565,1.08297546338502,1.10141076234865,1.15660172979157,0.931109731131888,1.09650397839554,1.17683291671867,1.19337426494974,1.16983953579848,1.0932202901567,0.977375211518614,1.0997937214234,1.03081831335353,1.03479417495766,1.22254830680197,1.03472685605622,1.05076929187606,1.15932331077034,1.08160287112269,0.901743181892076,0.961770278069923,0.956838735903841,0.981139339437697,0.861981217166253,1.03076900553919,0.899361235822063,0.872735546469495,1.06067604703029
"Diderot_Religieuse",0.924022397669015,0.911412776773154,1.02528197180815,1.04901724407897,0.879946931153473,1.01417185496695,0.96891623983245,0.918946442884871,1.00559862383054,0.823089136371288,0.874288805775882,0,1.05887038568917,1.04094789874921,1.07932072739103,1.05944267367169,1.15921363241146,1.06432598964698,0.979950230679277,1.08654212421215,1.11712935624607,0.831863116124843,1.17640956016858,0.993967410575606,1.0954485683509,1.033448794309,0.880368655095776,1.11376669608266,1.09474473976427,1.05213753573655,1.06152482340056,1.13613255661693,1.08930623318677,1.03729103002307,1.01779480353998,1.1197356283952,1.04107935243006,0.992277725209258,1.07628373723152,1.10106713989085
"Ducray_Cinquante",0.967091125151627,1.08210124530632,0.991136628879577,1.10990419268483,0.911214333854842,1.03822886307862,1.11470816269995,1.08089252361097,1.01040432274526,1.08787989483004,1.19401602924565,1.05887038568917,0,0.580669460045996,0.562477041232028,0.560593476992847,1.06126489664243,0.963990554546356,0.93250763006135,1.00661759602757,0.972388863274019,1.05045809149657,1.09018058642737,1.08775216936665,0.878626926757789,0.929718683264394,0.847604970037499,1.19375011932908,0.963897694748743,1.0043667932949,1.09894463663914,1.0508957253809,1.12545223097238,1.19053890282251,1.14103352134087,1.18465590730067,1.06504496291602,1.14575453065663,1.21814897165301,1.197543858129
"Ducray_Coelina",1.04904137696171,0.997665310702047,0.913306686574349,0.935935213402393,1.03658707410377,1.10132908434284,1.1603765306727,1.13104824983852,1.04840257803652,0.993871945418383,1.08297546338502,1.04094789874921,0.580669460045996,0,0.576666470228806,0.526167207796776,1.07271749105228,1.04824711630957,1.08437681412679,1.11849631440582,1.10112084892769,1.06327391055873,1.10343655520647,1.12792220560025,0.959086907559153,0.988659956348804,1.02851117148897,1.14841636546484,0.91108854261597,0.969846995722528,0.991690420543983,1.02600802684141,1.04495066127731,1.12780948951697,1.12120089645106,1.15429859096182,1.0589480058632,1.06508850297814,1.17032231120517,1.14096017320392
"Ducray_Soirees",0.977247229337744,1.00455066193618,0.974172535647714,0.966639325522306,1.04072090694125,1.08417351998816,1.17947325146826,1.09370262850163,1.05106217315424,0.991279799652654,1.10141076234865,1.07932072739103,0.562477041232028,0.576666470228806,0,0.505249512651738,1.05129381113495,1.06652369799951,1.05073249160732,1.04952176770945,1.04525047560463,1.00517630065389,1.04130543435157,1.07391370923263,0.932565122464313,0.942206131539028,0.984123426104615,1.07385757806124,0.993904549101112,0.974197260650504,1.04494236798111,1.0680862447967,1.10332589434584,1.1248152956296,1.16591315841404,1.14227253402609,1.03737485677102,1.10725951608057,1.21439106375785,1.13478435885565
"Ducray_Victor",0.991788590681658,0.936992942984295,0.880101738882457,0.848202798664107,1.06447248075705,1.12655696620567,1.23940388958052,1.1626765503771,1.06377686941269,1.06712849739658,1.15660172979157,1.05944267367169,0.560593476992847,0.526167207796776,0.505249512651738,0,1.05710581941577,1.0097105494988,1.00216961211319,1.04884687077465,1.05742921736367,1.04296090005795,1.12921174988833,1.13743262951218,0.961200619245897,1.01756855406553,0.975918464834846,1.15120361040222,0.84223186090201,0.887609398599821,0.911908407139038,1.01988920077294,1.06978547620681,1.17810415637224,1.15623147330273,1.24750721569447,1.08194480065724,1.08434140493161,1.2334973271599,1.14289751248933
"Nerciat_Aphrodites",1.02088230801939,1.05105333559146,0.928066397044695,0.877295589041557,1.1436048863778,1.00385154007172,1.02911866966971,1.01687918176002,1.11615179276548,0.920891264653192,0.931109731131888,1.15921363241146,1.06126489664243,1.07271749105228,1.05129381113495,1.05710581941577,0,0.753847443229399,1.08305750556584,0.817967985524915,0.57241020096186,1.10737594997705,0.983750169726618,0.998172319569295,0.961647870996622,0.975753622281735,1.16448845382261,0.948220220881412,1.08127225342298,1.1103267541784,1.01594933312355,0.965242990981421,1.07931844181899,1.0911592976574,1.11715561388633,1.05447351077564,1.11929526562682,1.13597328319791,0.996624753580375,1.12262357715282
"Nerciat_Doctorat",0.988373030687881,0.95902014553419,1.00886075552251,1.03288850388423,1.01334362631416,1.02875760103237,1.0831330696425,0.986946267908591,1.05914711989661,1.0692569987938,1.09650397839554,1.06432598964698,0.963990554546356,1.04824711630957,1.06652369799951,1.0097105494988,0.753847443229399,0,0.906969791575479,0.695415363269337,0.601497979148734,1.03089499031122,1.10373372632833,1.0386659916873,1.00174181023324,0.97254750988471,0.986000556257852,1.07687078972192,1.0262548058724,1.01610509767675,1.01399944923359,1.02278153159583,1.12766286085849,1.1130163433194,1.15176766308384,1.17958793338741,1.12712615666244,1.13139093550667,1.03228392470981,1.18645243061585
"Nerciat_Etourdi",0.858287077262914,0.915642436254484,0.936607826776885,0.993254298707118,0.971680659535948,1.06483421360498,1.06062654454032,1.09655960192631,0.966141023917594,1.22468132972257,1.17683291671867,0.979950230679277,0.93250763006135,1.08437681412679,1.05073249160732,1.00216961211319,1.08305750556584,0.906969791575479,0,0.79588763056065,0.880136350812793,0.957978474146918,1.08101144544494,1.05824342759411,0.939381346310358,1.02428730861611,0.819170010249057,1.07637063584643,0.963567957197322,0.934499434328076,0.971665846934944,1.04419246600816,1.11537983977903,1.17276563725051,1.07573330904283,1.09477887468383,1.07677355535223,1.14299995425284,1.15115920995772,1.05265115224627
"Nerciat_Felicia",0.857739708625691,0.969794527365167,1.01000179845728,0.976422795768784,0.90201757189668,1.00770235191907,1.06525944313226,1.08068605741437,0.999375304626579,1.16136625548097,1.19337426494974,1.08654212421215,1.00661759602757,1.11849631440582,1.04952176770945,1.04884687077465,0.817967985524915,0.695415363269337,0.79588763056065,0,0.425073671780226,0.912785817866424,0.941955691468082,1.03869168988556,1.09965387997918,1.09133815636312,0.875277441746738,1.00304676789714,1.02344529441815,0.974636527089769,1.02546958084361,1.12649527823459,1.21125725432472,1.12137509518764,1.14828990886572,1.1781776242449,1.05768966696878,1.18595394165066,1.11048934196977,1.1053583300888
"Nerciat_Monrose",0.903728932366071,1.00719771803159,0.987663726591339,1.00755387027916,0.965958823133324,1.0324133944356,1.08920912194228,1.0520966289718,1.0482418305452,1.12496696108087,1.16983953579848,1.11712935624607,0.972388863274019,1.10112084892769,1.04525047560463,1.05742921736367,0.57241020096186,0.601497979148734,0.880136350812793,0.425073671780226,0,1.00469460021959,1.01915343176279,1.05796299934148,1.07129912828421,1.07690538064383,0.933936003468203,0.980867178867655,1.01130617892343,0.978946953960941,1.031395045416,1.08941611513584,1.19031803506648,1.13867008003692,1.12809698929681,1.1553831800145,1.09021387988336,1.15283976397204,1.11998223103036,1.08487811993473
"PigaultLebrun_Enfant",0.667854385191928,0.863520812682227,1.10961316625913,0.972907148380909,1.05277350442871,1.09105213271495,1.0981962506587,1.05810643721964,1.01620655011025,1.01110660610533,1.0932202901567,0.831863116124843,1.05045809149657,1.06327391055873,1.00517630065389,1.04296090005795,1.10737594997705,1.03089499031122,0.957978474146918,0.912785817866424,1.00469460021959,0,0.79484390115676,0.893832337908973,1.20541148501096,1.19389065162829,0.914691820645729,0.981262125235589,1.12046190047776,1.03443041071838,1.05306193118371,1.22688547254152,1.08267108737592,0.92698077023164,1.04564006799181,1.06805730379299,1.00789513193405,1.09668945284586,1.05761983409658,0.979708148796085
"PigaultLebrun_Kinglin",0.931602305653587,1.12009527322005,1.10204419219048,1.00035292045379,1.1231915035226,1.0561034534978,1.04443495800247,1.11034558306062,0.96753999910313,0.962141518785345,0.977375211518614,1.17640956016858,1.09018058642737,1.10343655520647,1.04130543435157,1.12921174988833,0.983750169726618,1.10373372632833,1.08101144544494,0.941955691468082,1.01915343176279,0.79484390115676,0,0.973722491779176,1.15766132993106,1.18032548847356,1.09686630477584,0.859328917216635,1.09133612890666,1.0577954262329,1.06104864272146,1.12643841901955,1.0489468848009,0.890464808730317,0.983152483830939,0.913297948371788,0.883852907735021,1.033534338886,0.930816851854594,0.8933595976639
"Retif_AntiJustine",0.747495674033171,1.05509665707979,1.12581975429273,1.11922964206709,1.07899074165739,1.11909092275723,1.09920087490217,1.02390888703375,1.02148095364436,0.958234805177005,1.0997937214234,0.993967410575606,1.08775216936665,1.12792220560025,1.07391370923263,1.13743262951218,0.998172319569295,1.0386659916873,1.05824342759411,1.03869168988556,1.05796299934148,0.893832337908973,0.973722491779176,0,1.03201516636087,0.967626759758372,0.824946040026405,0.708191056074246,1.23283647901726,1.09429162634753,1.08386176641983,1.06810425503001,1.05397312877578,0.935135213024762,1.09221839370806,1.05511015278501,1.03027870133002,1.07301437052717,1.00742995053536,0.97476260088089
"Retif_Paysan",1.17090250889595,1.03433928689719,1.00173071357492,1.13753629439339,1.00411567971966,0.975533722989876,0.851243396651221,0.824011506298495,1.09481112482687,1.03792091151299,1.03081831335353,1.0954485683509,0.878626926757789,0.959086907559153,0.932565122464313,0.961200619245897,0.961647870996622,1.00174181023324,0.939381346310358,1.09965387997918,1.07129912828421,1.20541148501096,1.15766132993106,1.03201516636087,0,0.25615229686508,0.836015045239465,1.17382872932241,0.948716713700065,1.09412174916657,1.06733829660836,0.88843842403848,0.94808186482225,1.22717329389921,1.14712195328112,1.08835810411922,1.1568935575459,1.04539232632547,1.16249343462638,1.2349408188885
